0.0	0.5	673
0.002	0.5	94
0.004	0.5	92
0.006	0.5	95
0.008	0.5	126
0.01	0.5	1013
0.012	0.5	2718
0.014	0.5	3000
0.016	0.5	3000
0.018	0.5	3000
0.02	0.5	3000
0.022	0.5	3000
0.024	0.5	3000
0.026	0.5	3000
0.028	0.5	3000
0.03	0.5	3000

0.0	0.52	963
0.002	0.52	90
0.004	0.52	82
0.006	0.52	90
0.008	0.52	113
0.01	0.52	796
0.012	0.52	2654
0.014	0.52	3000
0.016	0.52	3000
0.018	0.52	3000
0.02	0.52	3000
0.022	0.52	3000
0.024	0.52	3000
0.026	0.52	3000
0.028	0.52	3000
0.03	0.52	3000

0.0	0.54	1546
0.002	0.54	97
0.004	0.54	83
0.006	0.54	96
0.008	0.54	115
0.01	0.54	399
0.012	0.54	2202
0.014	0.54	3000
0.016	0.54	3000
0.018	0.54	3000
0.02	0.54	3000
0.022	0.54	3000
0.024	0.54	3000
0.026	0.54	3000
0.028	0.54	3000
0.03	0.54	3000

0.0	0.56	1545
0.002	0.56	105
0.004	0.56	87
0.006	0.56	82
0.008	0.56	94
0.01	0.56	398
0.012	0.56	2750
0.014	0.56	3000
0.016	0.56	3000
0.018	0.56	3000
0.02	0.56	3000
0.022	0.56	3000
0.024	0.56	3000
0.026	0.56	3000
0.028	0.56	3000
0.03	0.56	3000

0.0	0.58	1259
0.002	0.58	82
0.004	0.58	82
0.006	0.58	88
0.008	0.58	104
0.01	0.58	356
0.012	0.58	2416
0.014	0.58	2934
0.016	0.58	3000
0.018	0.58	3000
0.02	0.58	3000
0.022	0.58	3000
0.024	0.58	3000
0.026	0.58	3000
0.028	0.58	3000
0.03	0.58	3000

0.0	0.6	2128
0.002	0.6	79
0.004	0.6	86
0.006	0.6	87
0.008	0.6	102
0.01	0.6	178
0.012	0.6	2533
0.014	0.6	3000
0.016	0.6	3000
0.018	0.6	3000
0.02	0.6	3000
0.022	0.6	3000
0.024	0.6	3000
0.026	0.6	3000
0.028	0.6	3000
0.03	0.6	3000

0.0	0.62	964
0.002	0.62	100
0.004	0.62	82
0.006	0.62	87
0.008	0.62	91
0.01	0.62	363
0.012	0.62	2116
0.014	0.62	3000
0.016	0.62	2714
0.018	0.62	3000
0.02	0.62	3000
0.022	0.62	3000
0.024	0.62	3000
0.026	0.62	3000
0.028	0.62	3000
0.03	0.62	3000

0.0	0.64	1541
0.002	0.64	91
0.004	0.64	77
0.006	0.64	82
0.008	0.64	101
0.01	0.64	218
0.012	0.64	1875
